Rank,Team Name,Manager,Wins,Losses,Ties,Win %,Points For,Points Against,Playoff Seed
1,Strome Alone,Ryan,14,8,0,.636,3577.45,3537.6,6
2,DubJ,John,15,7,0,.682,3897.55,3565.3,2
3,Stammer Time,Johnathan,14,8,0,.636,3802.70,3506.65,4
4,Ryan is Aho,Mitchell,13,9,0,.591,3693.85,3561.2,8
5,Montour’s Monsters,Eric,15,7,0,.682,3845.20,3615.2000000000007,3
6,Papi,Nick,16,6,0,.727,3772.95,3296.2999999999997,1
7,PENS15 Club,Brad,13,9,0,.591,3759.50,3531.9500000000003,7
8,Rant and Roll,Bruce,14,8,0,.636,3589.50,3386.500000000001,5
9,66 Million Reasons,Cooper,12,10,0,.545,3639.45,3539.099999999999,
10,Goon Cave Mommies,Kyle,12,10,0,.545,3476.00,3245.1000000000004,
11,No Ragretzky,Ross,12,10,0,.545,3345.55,3486.75,
12,William Marners,cam,11,11,0,.500,3639.30,3672.0499999999997,
13,Dartmouth Mustard Tigers 🌭🐅,Cameron,10,12,0,.455,3565.95,3583.500000000001,
14,Dzingel Berries,Connor Koester,10,12,0,.455,3357.10,3412.3499999999995,
15,Bangers and Mash,conor,5,17,0,.227,3099.85,3567.349999999999,
16,Hughes Cruise,Devon,5,17,0,.227,2889.70,3528.4999999999995,
17,MasterSkaters,Aj,4,18,0,.182,3154.70,3525.5,
18,Ice Ice Baby,David,3,19,0,.136,2818.70,3364.0999999999995,
